AgentID,AgentLabel,SuperSpreader,SuperFriend,GeneralInfluencer,EigenvectorCentrality,
1486097077,JorgePonceCaraz,0.054,0,0.151,0.052,
106971476,ArmyRecognition,0.011,0,0.038,0.007,
1393536165857406982,NelsColeman,0.042,0,0.126,0.030,
216530630,CSEASUCB,0.005,0,0.013,0.001,
1114761930818895872,richie016_00,0.011,0,0.038,0.001,
1086159045604577280,sondravet22,0.114,0,0.263,0.105,
22388574,carl_densing,0.005,0,0.012,0.001,
947045737841311747,cma_mohan,0.005,0,0.012,0.001,
28468549,USPacificFleet,0.246,1,0.481,0.103,
843103970721579008,CoreyEBeverage,0.005,0,0.012,0.001,
1358535923072385024,lareed2012,0.030,0,0.115,0.026,
260530323,Jessica_Ruddy16,0.005,0,0.012,0.001,
1012475880248143873,Karrasamelia5,0.011,0,0.022,0.002,
1347911851351404544,Tinker_Sparked,0.048,0,0.135,0.034,
1038791386588487681,Whataboutthene1,0.017,0,0.047,0.004,
1484183740376969223,eng_vp,0.005,0,0.012,0.001,
1298625690091192320,WriterThriller,0.011,0,0.020,0.002,
1500812862507397120,JamalJa04418423,0.011,0,0.043,0.003,
935243065911996416,mE4j7FpRmSV07MI,0.030,0,0.069,0.009,
882353329657049089,jon_kinsley,0.005,0,0.012,0.001,
1429468650826784779,LouPawlowski,0.011,0,0.034,0.003,
1259155340433776647,xMasterProgram,0.005,0,0.012,0.001,
1450587988707012609,livefree170171,0.005,0,0.012,0.001,
1281303947857113088,VickiMo08056436,0.005,0,0.012,0.001,
1287435194316677121,ASsuuna1,0.084,0,0.226,0.080,
1321067249361444875,laptop_randy,0.005,0,0.012,0.001,
1448413205538148357,AndyMcCoy4real,0.084,0,0.276,0.063,
1355384877416235008,descendantofyhv,0.005,0,0.012,0.001,
1431139215698444288,MarkWil86770584,0.005,0,0.012,0.001,
1304733983939330049,eddie_31003,0.005,0,0.012,0.001,
143562564,silentseawolf,0.017,0,0.086,0.007,
1367389992939569154,kabinet14042864,0.005,0,0.007,0.002,
2407961990,amirshafyq,0.017,0,0.074,0.007,
814982462,scubaristar,0.011,0,0.028,0.002,
2662224127,rgssstep,0.005,0,0.007,0.002,
1448853288573550597,allannatividad8,0.024,0,0.026,7.860e-04,
1381567008777543681,iPhonelovers01,0.005,0,0.007,0.002,
1505131153522511873,dobedu37,0.005,0,0.005,0,
2731726158,fuji_503,0.005,0,0.007,0.002,
1020137438562283521,chageimgur,0.017,0,0.080,0.017,
3231463644,f86d_,0.042,0,0.152,0.043,
1448982297236049924,aivan_guisadio,0.005,0,0.005,0,
873411716,muhamedkalema1,0.030,0,0.072,0.032,
422577072,aevum2020,0.066,0,0.161,0.072,
2909334026,professorlombr1,0.005,0,0.007,0.002,
380680308,Cherry_1955,0.005,0,0.007,0.002,
923807628240723968,JohnsonThongLP,0.133,0,0.295,0.146,
754923996,Philippine_Navy,0.084,0,0.042,0.004,
10126672,USMC,0.308,0,0.474,0.130,
1510550413862662144,YsSNVknxKomeqta,0.005,0,0.007,0.002,
291652961,agiim_r,0.011,0,0.032,0.002,
1459338897343799300,AldwinJimenez2,0.005,0,0.006,0.001,
269139570,PhilDefNews,0.006,0,0.003,0.001,
71322728,jowell_disc,0.005,0,0.018,7.849e-04,
1359467324235862018,MU0GNABUO,0.005,0,0.007,0.001,
1151142582585417730,PahayagangKAPP,0.007,0,0.005,0.002,
536181856,imcheeseka,0.005,0,0.007,0.001,
3319511816,RiclamigoB,0.005,0,0.007,7.849e-04,
