AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength,
1164314082146603008,zalimaroyjung,1,1,0.667,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.625,1,0.545,0.409,1,1,0.722,0,0,0,0,0,0,1,0.200,0.166,1,0.667,0.667,0,0,0,0,0,0,0,0,0,0,0,0,
1137331911313899520,2019_yoshiko,4,1,0.701,4,0.514,0.281,2,0.333,0.125,1,0.444,0.278,1,0.275,0.186,4,1,0.675,4,0.515,0.424,4,1,0.685,1,0.027,0.007,2,0.167,0.058,4,0.200,0.005,2,0.333,0.333,1,0.281,0.123,2,0.156,0.055,0,0,0,2,0.250,0.077,
304132840,Seven_color_ink,1,1,0.711,0,0,0,1,0.200,0.050,1,0.407,0.222,0,0,0,1,1,0.718,0,0,0,1,1,0.717,0,0,0,0,0,0,1,0.400,0.050,1,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,
3243222877,ABTO_MAT,1,1,0.711,0,0,0,1,0.200,0.050,1,0.407,0.222,0,0,0,1,1,0.718,0,0,0,1,1,0.717,0,0,0,0,0,0,1,0.400,0.050,1,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,
615811506,Ghostinthereal,2,1,0.711,1,0.500,0.333,2,0.400,0.100,2,0.463,0.278,0,0,0,2,1,0.708,1,0.545,0.409,2,1,0.733,0,0,0,1,0.077,0.019,2,0.300,0.025,1,0.333,0.333,1,0.175,0.123,1,0.188,0.078,0,0,0,1,0.250,0.104,
1487030690973728769,1212prometheus,1,1,0.719,0,0,0,1,0.333,0.200,1,0.407,0.333,1,0.392,0.211,1,1,0.681,1,0.485,0.394,1,1,0.783,0,0,0,0,0,0,1,0.200,1.211e-07,1,0.667,0.667,0,0,0,0,0,0,0,0,0,0,0,0,
1628968362,RAW_FNA_MUSIC,1,1,0.700,1,0.500,0.333,1,0.200,0.050,0,0,0,0,0,0,1,1,0.699,1,0.485,0.417,1,1,0.683,0,0,0,1,0.256,0.096,1,0.200,9.438e-12,0,0,0,1,0.281,0.123,1,0.188,0.047,0,0,0,1,0.250,0.104,
100914532,ginntokii,2,1,0.701,1,0.500,0.333,1,0.200,0.050,0,0,0,1,0.353,0.250,2,1,0.683,0,0,0,2,1,0.733,0,0,0,2,0.077,0.029,1,0.400,0.050,1,0.667,0.667,2,0.211,0.125,2,0.219,0.094,0,0,0,1,0.250,0.125,
1678411796,STR727,1,1,0.719,1,0.500,0.333,1,0.200,0.050,0,0,0,1,0.353,0.250,1,1,0.713,0,0,0,1,1,0.783,0,0,0,1,0.077,0.038,1,0.400,0.050,0,0,0,1,0.263,0.158,1,0.250,0.125,0,0,0,1,0.250,0.125,
1111434851079675904,CalZole,1,1,0.700,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.681,0,0,0,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0,0,1,0.125,0.078,0,0,0,0,0,0,
