AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength,
100066454241810,standardtimedaily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100067470001270,kaugnay7id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417427,,15,0.078,0.094,15,0.667,0.417,0,0,0,15,0.370,0.361,15,0.353,0.309,15,0.157,0.157,15,0.367,0.317,0,0,0,15,0.109,0.040,15,0.210,0.053,15,0.333,0.250,0,0,0,15,0.264,0.130,15,0.421,0.230,15,0.500,0.292,15,0.322,0.206,
100066794299871,Gladextravelandtours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064301853697,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064695606437,brigadanewsfmmanila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064583687882,INDOPACOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064779514127,USARPAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417433,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064688230749,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064748554373,,0,0,0,19,0.333,0.083,2,0.200,0.125,1,0.370,0.139,0,0,0,1,0.059,0.059,19,0.300,0.300,0,0,0,0,0,0,0,0,0,1,0.400,0.400,0,0,0,0,0,0,0,0,0,19,0.167,0.042,1,0.250,0.188,
100039732346840,amscentralkh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417416,,1,0.022,0.044,1,0.333,0.083,1,0.200,0.050,1,0.333,0.139,0,0,0,0,0,0,1,0.300,0.300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064992870078,tribunephl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417417,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100066814033799,brigadanewsfmnaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064740066209,25thID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417375,,1,0.033,0.067,1,0.389,0.167,1,0.333,0.200,1,0.333,0.194,1,0.216,0.230,0,0,0,1,0.433,0.358,0,0,0,1,0.027,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.167,0.042,0,0,0,
100064322756807,,3,0.044,0.069,4,0.431,0.156,3,0.311,0.217,3,0.333,0.213,3,0.242,0.227,0,0,0,4,0.342,0.342,3,0.185,0.144,2,0.054,0.034,1,0.231,0.135,1,0.200,0.050,0,0,0,2,0.193,0.140,2,0.125,0.094,1,0.167,0.042,0,0,0,
100063819732625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100065657256165,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100076267325329,893bnfmcotabato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417384,,60,0.096,0.070,62,0.499,0.195,12,0.228,0.129,60,0.277,0.127,60,0.294,0.244,59,0.062,0.040,62,0.308,0.303,6,0.178,0.117,58,0.046,0.027,58,0.118,0.073,11,0.236,0.136,0,0,0,21,0.240,0.180,16,0.185,0.113,8,0.167,0.083,16,0.174,0.120,
100044310822279,fotobookbelgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100076681819677,1031bnfmmati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100081724125146,tnnearth,0,0,0,3,0.333,0.083,1,0.200,0.050,0,0,0,0,0,0,1,0.059,0.015,3,0.300,0.300,0,0,0,1,0.027,0.007,0,0,0,1,0.400,0.100,0,0,0,0,0,0,0,0,0,3,0.167,0.056,1,0.250,0.062,
100075882527501,taiwanplusnews,0,0,0,1,0.333,0.083,0,0,0,0,0,0,0,0,0,0,0,0,1,0.400,0.325,0,0,0,1,0.054,0.027,0,0,0,1,0.200,0.050,0,0,0,0,0,0,0,0,0,1,0.167,0.042,0,0,0,
781170378635478,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
