AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength
100053440385973,marines,8,0.042,0.043,9,0.383,0.148,9,0.319,0.217,9,0.358,0.238,8,0.277,0.203,1,0.118,0.074,9,0.359,0.351,2,0.211,0.125,1,0.027,0.007,0,0,0,2,0.4,0.107,0,0,0,1,0.105,0.118,3,0.167,0.083,2,0.25,0.063,1,0.167,0.047
100069154181487,Exercise Balikatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064912081793,"5th Infantry Star"" Division  Philippine Army",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417441,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064872153249,APzeiros24hrs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417458,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417400,,1,0.033,0.017,1,0.333,0.083,0,0,0,1,0.222,0.083,1,0.176,0.103,1,0.059,0.029,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0.078,1,0.333,0.083,0,0,0
100071438194667,Philippine Marine Corps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417463,,19,0.063,0.036,33,0.404,0.135,14,0.238,0.118,18,0.395,0.148,19,0.298,0.189,22,0.124,0.064,31,0.34,0.314,1,0.267,0.183,8,0.032,0.012,7,0.088,0.03,20,0.313,0.135,0,0,0,19,0.132,0.084,22,0.188,0.094,18,0.222,0.082,13,0.239,0.139
277844926117743,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
